record_date,client_name,project_name,sub_project_name,username,production_count,quality_percent,remarks
2025/12/05,Microsoft,Alpha,SP2,user_001,5,101.0,"Missing required column(s): unique_account_id, designation, daily_target, audit_status"
2025-12-03,,Beta,SP3,user_001,10,92.5,"Missing required column(s): unique_account_id, designation, daily_target, audit_status"
2025-12-04,Amazon,,SP2,user_001,10,92.5,"Missing required column(s): unique_account_id, designation, daily_target, audit_status"
2025-12-05,Tesla,Alpha,SP3,,10,-5.0,"Missing required column(s): unique_account_id, designation, daily_target, audit_status"
2025-12-06,Amazon,Gamma,SP3,user_004,5,,"Missing required column(s): unique_account_id, designation, daily_target, audit_status"
2025-12-07,Amazon,Gamma,SP1,user_003,ten,87.0,"Missing required column(s): unique_account_id, designation, daily_target, audit_status"
2025-12-08,Amazon,Gamma,SP2,user_002,5,101.0,"Missing required column(s): unique_account_id, designation, daily_target, audit_status"
2025-12-09,Google,Beta,SP1,user_001,5,101.0,"Missing required column(s): unique_account_id, designation, daily_target, audit_status"
2025-12-10,Google,Beta,SP3,user_004,20,76.0,"Missing required column(s): unique_account_id, designation, daily_target, audit_status"
2025-12-01,Tesla,Beta,SP2,user_002,10,-5.0,"Missing required column(s): unique_account_id, designation, daily_target, audit_status"
2025-12-02,Google,Alpha,SP3,user_003,-3,83.0,"Missing required column(s): unique_account_id, designation, daily_target, audit_status"
2025-12-03,Tesla,Beta,SP3,user_001,5,101.0,"Missing required column(s): unique_account_id, designation, daily_target, audit_status"
2025-12-04,Tesla,Alpha,SP2,user_002,-3,76.0,"Missing required column(s): unique_account_id, designation, daily_target, audit_status"
2025-12-05,Amazon,Gamma,SP1,user_003,20,-5.0,"Missing required column(s): unique_account_id, designation, daily_target, audit_status"
2025-12-06,Microsoft,Gamma,SP2,user_004,5,92.5,"Missing required column(s): unique_account_id, designation, daily_target, audit_status"
2025-12-07,Microsoft,Beta,SP3,user_001,5,-5.0,"Missing required column(s): unique_account_id, designation, daily_target, audit_status"
2025-12-08,Microsoft,Gamma,SP3,user_004,20,-5.0,"Missing required column(s): unique_account_id, designation, daily_target, audit_status"
2025-12-09,Tesla,Gamma,SP2,user_001,-3,83.0,"Missing required column(s): unique_account_id, designation, daily_target, audit_status"
2025-12-10,Google,Gamma,SP1,user_004,5,87.0,"Missing required column(s): unique_account_id, designation, daily_target, audit_status"
2025-12-01,Microsoft,Alpha,SP3,user_002,-3,76.0,"Missing required column(s): unique_account_id, designation, daily_target, audit_status"
2025-12-02,Tesla,Alpha,SP1,user_004,-3,101.0,"Missing required column(s): unique_account_id, designation, daily_target, audit_status"
2025-12-03,Microsoft,Alpha,SP2,user_003,-3,83.0,"Missing required column(s): unique_account_id, designation, daily_target, audit_status"
2025-12-04,Tesla,Alpha,SP1,user_001,10,87.0,"Missing required column(s): unique_account_id, designation, daily_target, audit_status"
2025-12-05,Google,Gamma,SP1,user_001,-3,101.0,"Missing required column(s): unique_account_id, designation, daily_target, audit_status"
2025-12-06,Google,Beta,SP2,user_001,10,76.0,"Missing required column(s): unique_account_id, designation, daily_target, audit_status"
2025-12-07,Microsoft,Gamma,SP3,user_003,10,-5.0,"Missing required column(s): unique_account_id, designation, daily_target, audit_status"
2025-12-08,Amazon,Beta,SP3,user_004,-3,76.0,"Missing required column(s): unique_account_id, designation, daily_target, audit_status"
2025-12-09,Tesla,Alpha,SP2,user_004,5,87.0,"Missing required column(s): unique_account_id, designation, daily_target, audit_status"
2025-12-10,Amazon,Alpha,SP2,user_002,5,83.0,"Missing required column(s): unique_account_id, designation, daily_target, audit_status"
2025-12-01,Amazon,Alpha,SP1,user_002,5,83.0,"Missing required column(s): unique_account_id, designation, daily_target, audit_status"
